"token","n"
"rumble",375
"nuclear",372
"damages",337
"power",333
"defects",317
"inspections",317
"testing",317
"inanything",312
"integrityfailure",312
"repair",310
"someonestructural",260
"house",234
"approachinganyone",224
"people",223
"app",209
"someoneanyone",198
"like",195
"problems",192
"ofaccident",178
"wasowner",176
"water",165
"howcan",162
"theybound",162
"helpanything",159
"moving",152
"information",150
"right",146
"anyoneusers",142
"heard",142
"know",140
"use",134
"around",130
"line",129
"somethingit",129
"fatalities",128
"itthey",126
"safe",123
"inscene",122
"himark",119
"energy",114
"see",114
"someonethey",114
"shaking",113
"start",113
"help",112
"please",111
"plant",110
"collapsed",108
"days",106
"vehicle",106
"landslide",105
"removed",103
"car",102
"somethingsomeonesomething",102
"^ag",101
"accident",101
"works",101
"ofsomething",100
"damaged",99
"friend",99
"good",98
"bus",97
"ofbuilding",96
"say",95
"hours",93
"said",92
"studies",92
"case",90
"quaking",90
"roads",89
"says",88
"trembling",87
"always",86
"school",86
"tell",86
"day",84
"getting",84
"everyoneok",83
"food",83
"old",83
"lots",82
"downloadanyone",81
"got",81
"building",78
"inon",78
"neighbor",78
"annoyed",77
"hate",77
"mad",77
"better",76
"lying",76
"open",76
"cyclist",75
"male",75
"crazy",74
"struck",74
"sure",74
"alternate",73
"downloadhe",73
"effect",73
"shelter",73
"today",73
"vibrating",73
"pretenddidn",72
"anyonetrees",71
"still",71
"marfplace",70
"could",69
"powerlines",68
"town",68
"quivering",67
"shuddering",67
"tryingget",67
"another",66
"news",66
"trees",66
"phone",65
"work",65
"many",64
"reactor",64
"well",63
"back",62
"evacuated",61
"get",61
"involvingoverturned",61
"need",61
"ofsomethingon",61
"plants",61
"somethingsomething",61
"stocked",61
"away",60
"beforerun",60
"deals",60
"opportunity",60
"parseengers",60
"st",59
"tr",59
"best",58
"gullsa",58
"part",58
"ofseacall",57
"called",56
"definitely",56
"evacuation",56
"hospital",56
"large",56
"structural",56
"theynear",56
"deeds",54
"entire",54
"great",54
"rolling",54
"somethingsomeone",54
"station",54
"week",54
"advantage",53
"fuel",53
"lapping",53
"home",52
"long",52
"pond",52
"sinkhole",52
"swallows",52
"take",52
"turns",52
"falling",51
"inambulance",51
"injuries",51
"things",51
"using",51
"areshe",50
"life",50
"sandunesgentle",50
"wobbling",50
"evacuating",49
"exciting",49
"gone",49
"thatcity",49
"theycrews",49
"earthquake",48
"everywhere",48
"road",48
"started",48
"thisanyonetrees",48
"time",48
"acrossstreet",47
"different",47
"remain",47
"thehas",47
"apparently",46
"happening",46
"hearing",46
"rods",46
"sewer",46
"closed",45
"creatures",45
"duehazard",45
"living",45
"naturalsomething",45
"nearsomething",45
"ofapocalypse",45
"someonenow",45
"somethingsomeonesomethingit",45
"abetween",44
"closures",44
"everyone",44
"inhorrible",44
"issign",44
"reported",44
"tonly",44
"volunteers",44
"whichit",44
"alone",43
"entity",43
"forcedclose",43
"inasresult",43
"interpretation",43
"neededparticipate",43
"outwasn",43
"pastor",43
"sheemergency",43
"squestion",43
"treesdebris",43
"worked",43
"feeling",42
"moved",42
"via",42
"years",42
"find",41
"lot",41
"minutes",41
"morning",41
"quot",41
"safety",41
"denied",40
"fell",40
"lefttake",40
"ofunitson",40
"thgehe",40
"tryingfinddisaster",40
"anythingabetween",39
"chancesmake",39
"motor",39
"rover",39
"theyhesomething",39
"two",39
"first",38
"friends",38
"gas",38
"lost",38
"nearly",38
"ofrange",38
"properties",38
"ableget",37
"alwayssafepowercompany",37
"city",37
"inanytyingnything",37
"tehhe",37
"tjehe",37
"also",36
"floodthey",36
"inspection",36
"notice",36
"scaredbe",36
"someneomething",36
"spent",36
"would",36
"action",35
"anyonegod",35
"feel",35
"leaving",35
"never",35
"pending",35
"routes",35
"thing",35
"anyoneus",34
"buildings",34
"end",34
"ifsee",34
"make",34
"next",34
"night",34
"opportunities",34
"tjhehe",34
"anythinganyonetrees",33
"arseistance",33
"crash",33
"sinksomethingon",33
"bridge",32
"collapsedisn",32
"coming",32
"diedi",32
"inbuilding",32
"looking",32
"new",32
"place",32
"theyheofferspurchase",32
"working",32
"answering",31
"anyonesomethingsomeonenow",31
"done",31
"isprecautionary",31
"sale",31
"thinkground",31
"tv",31
"victims",31
"ahead",30
"anymore",30
"failure",30
"friday",30
"ittheyfinally",30
"powerout",30
"quake",30
"thereit",30
"way",30
"worth",30
"bridgeclosed",29
"come",29
"cut",29
"deal",29
"goingget",29
"injured",29
"jade",29
"left",29
"neighborhood",29
"rescue",29
"running",29
"themcall",29
"think",29
"absolutely",28
"coffee",28
"dad",28
"fortnight",28
"including",28
"love",28
"man",28
"sad",28
"sister",28
"someonesomeonenow",28
"stilllong",28
"told",28
"twelve",28
"tyhehey",28
"event",27
"ever",27
"hteyhey",27
"least",27
"movie",27
"change",26
"found",26
"rubble",26
"sinksomething",26
"soon",26
"teh",26
"tghehe",26
"tohospital",26
"wandering",26
"beds",25
"cost",25
"finally",25
"graspable",25
"lane",25
"nearsomethingon",25
"onhe",25
"saw",25
"sewage",25
"someonesomething",25
"somethinganyone",25
"tehyhey",25
"timechange",25
"cat",24
"dereknolan",24
"everything",24
"far",24
"fire",24
"floors",24
"havechance",24
"iÌm",24
"isnuclear",24
"obviously",24
"pastsomething",24
"store",24
"tomorrow",24
"upmake",24
"already",23
"baby",23
"beforeloose",23
"blame",23
"cant",23
"clearly",23
"fine",23
"firefightersshe",23
"job",23
"last",23
"naturalsomethingon",23
"walking",23
"waste",23
"activatedsomethinganythingshefromtheybound",22
"film",22
"glarsees",22
"grasp",22
"high",22
"mom",22
"ofcollapsed",22
"onthey",22
"opened",22
"son",22
"thanks",22
"bad",21
"big",21
"enough",21
"lights",21
"million",21
"mother",21
"mugs",21
"ok",21
"somethingsomeonenow",21
"stuff",21
"thought",21
"tonight",21
"toscene",21
"yikes",21
"advanage",20
"ago",20
"donate",20
"gonna",20
"ityhe",20
"kids",20
"looks",20
"missing",20
"needdownload",20
"needed",20
"outside",20
"repairit",20
"sales",20
"anytehyhing",19
"anythingsomethingon",19
"broken",19
"butconcerned",19
"came",19
"chloejohnson",19
"deep",19
"hold",19
"hope",19
"iteh",19
"itgrew",19
"someonesummer",19
"tables",19
"tremble",19
"workers",19
"affordconsequences",18
"bed",18
"bound",18
"bowls",18
"canask",18
"center",18
"cool",18
"cops",18
"courteous",18
"driver",18
"five",18
"fun",18
"hasre",18
"issame",18
"keep",18
"lamps",18
"leaking",18
"meeting",18
"mind",18
"needuse",18
"nothing",18
"noware",18
"plates",18
"room",18
"service",18
"standards",18
"weekend",18
"among",17
"anythingsomething",17
"anytyhehing",17
"bricks",17
"chairs",17
"cousin",17
"crap",17
"creates",17
"damage",17
"downloadingrumble",17
"ghosts",17
"goingbe",17
"hss",17
"interest",17
"ittheysomethinganyone",17
"krak",17
"lacki",17
"look",17
"made",17
"month",17
"move",17
"non",17
"pans",17
"pastsomethingon",17
"rachelsimmons",17
"rain",17
"repairitgrew",17
"sleep",17
"snatching",17
"somethingsomeonesomethinganyone",17
"somewhat",17
"teen",17
"three",17
"traffic",17
"unlicensed",17
"vanessacorwin",17
"vibrate",17
"waiting",17
"yuo",17
"anddnd",16
"anyhteyhing",16
"appealing",16
"brother",16
"dead",16
"dont",16
"downstreet",16
"dramatic",16
"dry",16
"globaltheybound",16
"husband",16
"ice",16
"ihtey",16
"itehy",16
"lines",16
"needget",16
"neednew",16
"north",16
"onto",16
"quicky",16
"run",16
"scared",16
"seeing",16
"self",16
"shake",16
"stop",16
"thgeo",16
"treatbusted",16
"trucks",16
"walls",16
"watch",16
"without",16
"adnnd",15
"anbdnd",15
"atalways",15
"cash",15
"fall",15
"grocery",15
"half",15
"happen",15
"ifcan",15
"immediately",15
"inbest",15
"inroad",15
"ittheysomething",15
"memories",15
"nice",15
"omg",15
"pipes",15
"scenic",15
"shifts",15
"table",15
"whatwhat",15
"wonder",15
"abound",14
"animal",14
"athospital",14
"beautiful",14
"bored",14
"bows",14
"breakthrough",14
"breathtaking",14
"cell",14
"die",14
"doctor",14
"download",14
"eight",14
"eleven",14
"father",14
"frame",14
"glarse",14
"happy",14
"havefew",14
"himarkers",14
"interesting",14
"interview",14
"laser",14
"leadlower",14
"lives",14
"monday",14
"ofanyone",14
"online",14
"pharmacy",14
"playing",14
"portions",14
"pots",14
"project",14
"shift",14
"side",14
"six",14
"somehteyhing",14
"sometehyhing",14
"stay",14
"step",14
"sufficient",14
"thank",14
"usually",14
"vista",14
"wife",14
"worse",14
"wow",14
"yes",14
"administratorsophie",13
"anybody",13
"anyonesomethinglandslide",13
"arm",13
"brick",13
"call",13
"challenges",13
"cheesburger",13
"close",13
"contaminated",13
"dang",13
"dangerous",13
"darn",13
"death",13
"dog",13
"else",13
"every",13
"family",13
"feet",13
"game",13
"glad",13
"gross",13
"health",13
"hit",13
"houses",13
"hungry",13
"hut",13
"inside",13
"issues",13
"kyle",13
"miles",13
"must",13
"ofanyonecannot",13
"okay",13
"plus",13
"point",13
"promising",13
"someneomeone",13
"stand",13
"taxis",13
"thats",13
"theyre",13
"though",13
"tobar",13
"tvhostbrad",13
"utilities",13
"watchshe",13
"wobble",13
"almost",12
"ancient",12
"athigh",12
"atnuclear",12
"barely",12
"bookshelves",12
"boss",12
"built",12
"chemistryteacherrichardnelson",12
"children",12
"correctly",12
"country„<U+0089>",12
"disaster",12
"downloading",12
"egads",12
"either",12
"famous",12
"ferret",12
"forhimarknews",12
"free",12
"gladdid",12
"gotfind",12
"grandma",12
"grandpa",12
"grip",12
"hall",12
"horrible",12
"industry",12
"instant",12
"intriguing",12
"ittheyanyonesomethinglandslide",12
"ittheysomethingit",12
"knows",12
"leave",12
"lol",12
"manyhaveplan",12
"minister",12
"miss",12
"near",12
"needsnatch",12
"nine",12
"offuture",12
"oye",12
"park",12
"party",12
"pictures",12
"pretty",12
"probably",12
"provocative",12
"queen",12
"reasonably",12
"red",12
"reprocessing",12
"roommate",12
"safeoff",12
"save",12
"set",12
"someneomethingsomeneomeone",12
"timedownload",12
"toilet",12
"toilets",12
"wind",12
"ynn",12
"aah",11
"adaptation",11
"aftershock",11
"alternativespower",11
"animals",11
"arrested",11
"art",11
"atsomething",11
"battery",11
"check",11
"daughter",11
"department",11
"dresser",11
"drilling",11
"electric",11
"elephants",11
"feltshaking",11
"foot",11
"forest",11
"forfresh",11
"ftw",11
"goingdownload",11
"groupsultimate",11
"heck",11
"helping",11
"heroes",11
"hugger",11
"hunting",11
"infrastructure",11
"installations",11
"iscrazywayboil",11
"itÌs",11
"ittheyanyonesomethingsomeonenow",11
"largest",11
"little",11
"lively",11
"maggot",11
"maybe",11
"might",11
"mug",11
"needhospital",11
"noharoundnuclear",11
"nut",11
"ofeconomic",11
"painful",11
"papa",11
"parking",11
"pie",11
"piles",11
"pizza",11
"powersafe",11
"prayers",11
"protect",11
"shut",11
"sometyhehing",11
"sound",11
"straight",11
"team",11
"thof",11
"timeget",11
"times",11
"tohouse",11
"tonypeterson",11
"took",11
"truck",11
