"token","n"
"like",203
"better",181
"great",156
"well",156
"right",153
"lying",121
"hate",118
"safe",112
"annoyed",98
"love",92
"pretty",86
"exciting",84
"bad",82
"fun",67
"enough",63
"vibrating",59
"advantage",56
"happy",49
"worth",46
"nice",45
"awesome",43
"best",41
"fine",39
"reasonably",38
"cool",37
"recommend",37
"favorite",36
"amazing",35
"appealing",34
"free",32
"delicious",31
"funny",30
"wow",28
"crazy",27
"disappointed",27
"luck",27
"fantastic",26
"super",26
"ready",25
"dangerous",23
"hot",23
"win",23
"wrong",23
"clearly",22
"fresh",22
"top",22
"waste",21
"yay",21
"easy",20
"intriguing",19
"popular",19
"wonderful",19
"interesting",18
"perfect",18
"plot",18
"problem",18
"stupid",18
"sweet",18
"terrible",18
"enjoy",17
"lovely",17
"sorry",17
"provocative",16
"beautiful",15
"cheap",15
"horrible",15
"support",15
"thrilling",15
"abound",14
"astonishing",14
"cold",14
"hard",14
"heck",14
"hurt",14
"properly",14
"boring",13
"dark",13
"death",13
"excellent",13
"excited",13
"garbage",13
"honest",13
"impressive",13
"loved",13
"mad",13
"pleased",13
"shake",13
"sick",13
"slow",13
"tired",13
"losing",12
"miss",12
"pig",12
"stimulating",12
"worse",12
"break",11
"breathtaking",11
"clear",11
"cute",11
"fall",11
"friendly",11
"glad",11
"recommended",11
"strong",11
"brilliant",10
"clean",10
"correctly",10
"crap",10
"disappointing",10
"fair",10
"faster",10
"hang",10
"missed",10
"poor",10
"wasting",10
"wonder",10
"dumb",9
"enjoying",9
"excessive",9
"expensive",9
"fell",9
"hedge",9
"helpful",9
"liked",9
"lively",9
"problems",9
"quiet",9
"splendid",9
"sucks",9
"thank",9
"bargain",8
"bored",8
"broken",8
"clever",8
"dead",8
"disappointment",8
"enjoyed",8
"fast",8
"fool",8
"hated",8
"important",8
"issues",8
"junk",8
"loud",8
"positive",8
"sad",8
"significant",8
"solid",8
"available",7
"bum",7
"evil",7
"fallen",7
"gold",7
"issue",7
"kill",7
"killed",7
"lag",7
"lies",7
"lucky",7
"pain",7
"promising",7
"reward",7
"satisfying",7
"sharply",7
"success",7
"unfortunate",7
"welcome",7
"adorable",6
"alarm",6
"amazed",6
"ashamed",6
"attack",6
"bother",6
"cheaper",6
"comfortable",6
"creative",6
"decent",6
"difficult",6
"discomfort",6
"dismal",6
"dying",6
"fake",6
"fans",6
"fat",6
"flirt",6
"golden",6
"hollow",6
"impressed",6
"noise",6
"overwhelmed",6
"pathetic",6
"perfectly",6
"ridiculous",6
"scared",6
"strictly",6
"suck",6
"sucked",6
"unbearable",6
"useful",6
"vexing",6
"vibrate",6
"warm",6
"accurate",5
"annoying",5
"aversion",5
"badly",5
"bland",5
"bleeding",5
"broke",5
"calm",5
"clueless",5
"complain",5
"complaints",5
"convincing",5
"credible",5
"damage",5
"dull",5
"efficient",5
"fear",5
"harpy",5
"hasty",5
"hurts",5
"illegal",5
"joke",5
"lack",5
"lazy",5
"likes",5
"loose",5
"lose",5
"lost",5
"loves",5
"loving",5
"mangled",5
"mediocre",5
"nicer",5
"peace",5
"protect",5
"puny",5
"qualified",5
"questionable",5
"reasonable",5
"respect",5
"restored",5
"satisfied",5
"scratched",5
